"id","mechanic"
103343,"Auction: Sealed Bid"
103343,"Card Play Conflict Resolution"
103343,"Hand Management"
103343,"Order Counters"
103343,"Player Elimination"
103343,"Prisoners Dilemma"
103343,"Simultaneous Action Selection"
103343,"Variable Player Powers"
6249,"Card Drafting"
6249,"Hand Management"
6249,"Memory"
6249,"Set Collection"
6249,"Tile Placement"
102794,"Automatic Resource Growth"
102794,"Increase Value of Unchosen Resources"
102794,"Solo / Solitaire Game"
102794,"Tile Placement"
102794,"Turn Order: Claim Action"
102794,"Worker Placement"
244521,"Catch the Leader"
244521,"Deck Bag and Pool Building"
244521,"Dice Rolling"
244521,"Push Your Luck"
244521,"Variable Set-up"
96848,"Card Drafting"
96848,"Cooperative Game"
96848,"Deck Bag and Pool Building"
96848,"Dice Rolling"
96848,"Grid Movement"
96848,"Hand Management"
96848,"Hexagon Grid"
96848,"Modular Board"
96848,"Role Playing"
96848,"Solo / Solitaire Game"
96848,"Variable Player Powers"
199792,"Card Drafting"
199792,"End Game Bonuses"
199792,"Hand Management"
199792,"Income"
199792,"Solo / Solitaire Game"
199792,"Variable Set-up"
199792,"Worker Placement"
39463,"Alliances"
39463,"Card Play Conflict Resolution"
39463,"Hand Management"
39463,"Interrupts"
39463,"Negotiation"
39463,"Prisoners Dilemma"
39463,"Race"
39463,"Simultaneous Action Selection"
39463,"Take That"
39463,"Trading"
39463,"Variable Player Powers"
128882,"Finale Ending"
128882,"Hidden Roles"
128882,"Roles with Asymmetric Information"
128882,"Simultaneous Action Selection"
128882,"Team-Based Game"
128882,"Traitor Game"
128882,"Variable Player Powers"
128882,"Voting"
205059,"Area Movement"
205059,"Cooperative Game"
205059,"Dice Rolling"
205059,"Hand Management"
205059,"Map Addition"
205059,"Modular Board"
205059,"Role Playing"
205059,"Scenario / Mission / Campaign Game"
205059,"Solo / Solitaire Game"
205059,"Stat Check Resolution"
205059,"Team-Based Game"
205059,"Traitor Game"
205059,"Variable Player Powers"
143884,"Dice Rolling"
143884,"Random Production"
320,"End Game Bonuses"
320,"Hand Management"
320,"Square Grid"
320,"Tile Placement"
132531,"Action Retrieval"
132531,"Contracts"
132531,"Dice Rolling"
132531,"Follow"
132531,"Simultaneous Action Selection"
132531,"Variable Phase Order"
132531,"Variable Player Powers"
35677,"Automatic Resource Growth"
35677,"End Game Bonuses"
35677,"Increase Value of Unchosen Resources"
35677,"Loans"
35677,"Ownership"
35677,"Solo / Solitaire Game"
35677,"Worker Placement"
3955,"Hand Management"
3955,"Hidden Roles"
3955,"Kill Steal"
3955,"Player Elimination"
3955,"Take That"
3955,"Team-Based Game"
3955,"Variable Player Powers"
124742,"Action Points"
124742,"Deck Construction"
124742,"Hand Management"
124742,"Race"
124742,"Secret Unit Deployment"
124742,"Take That"
124742,"Variable Player Powers"
9220,"Hand Management"
9220,"Hidden Roles"
9220,"Map Addition"
9220,"Network and Route Building"
9220,"Take That"
9220,"Team-Based Game"
9220,"Traitor Game"
18602,"Ownership"
18602,"Turn Order: Claim Action"
18602,"Turn Order: Pass Order"
18602,"Variable Set-up"
18602,"Worker Placement"
136063,"Action Points"
136063,"Bias"
136063,"Cooperative Game"
136063,"Grid Movement"
136063,"Hand Management"
136063,"Map Reduction"
136063,"Modular Board"
136063,"Pick-up and Deliver"
136063,"Set Collection"
136063,"Solo / Solitaire Game"
136063,"Square Grid"
136063,"Variable Player Powers"
148949,"Contracts"
148949,"Dice Rolling"
148949,"Grid Movement"
148949,"Modular Board"
148949,"Network and Route Building"
148949,"Pick-up and Deliver"
148949,"Race"
148949,"Variable Set-up"
148949,"Worker Placement"
72125,"Area Majority / Influence"
72125,"Dice Rolling"
72125,"Grid Movement"
72125,"Hexagon Grid"
72125,"Map Addition"
72125,"Modular Board"
72125,"Player Elimination"
72125,"Tile Placement"
72125,"Variable Phase Order"
72125,"Variable Player Powers"
158899,"Action Queue"
158899,"Action Retrieval"
158899,"Hand Management"
158899,"Memory"
158899,"Programmed Movement"
158899,"Take That"
158899,"Turn Order: Progressive"
158899,"Variable Player Powers"
10630,"Area Majority / Influence"
10630,"Campaign / Battle Card Driven"
10630,"Command Cards"
10630,"Dice Rolling"
10630,"Die Icon Resolution"
10630,"Grid Movement"
10630,"Hand Management"
10630,"Hexagon Grid"
10630,"Line of Sight"
10630,"Modular Board"
10630,"Movement Points"
10630,"Scenario / Mission / Campaign Game"
10630,"Simulation"
42,"Area Majority / Influence"
42,"Connections"
42,"Hand Management"
42,"Highest-Lowest Scoring"
42,"Income"
42,"Set Collection"
42,"Square Grid"
42,"Tile Placement"
15062,"Communication Limits"
15062,"Cooperative Game"
15062,"Dice Rolling"
15062,"Hand Management"
15062,"Player Elimination"
15062,"Semi-Cooperative Game"
15062,"Set Collection"
15062,"Team-Based Game"
15062,"Traitor Game"
15062,"Variable Player Powers"
192291,"Card Drafting"
192291,"Drafting"
192291,"End Game Bonuses"
192291,"Hand Management"
192291,"Set Collection"
192291,"Simultaneous Action Selection"
172,"Auction/Bidding"
172,"Auction: Sealed Bid"
172,"Auction: Turn Order Until Pass"
172,"Hand Management"
172,"Selection Order Bid"
182028,"Action Points"
182028,"Auction/Bidding"
182028,"Auction: Dutch"
182028,"Card Drafting"
182028,"Events"
182028,"Income"
182028,"Take That"
187645,"Area Majority / Influence"
187645,"Area Movement"
187645,"Area-Impulse"
187645,"Delayed Purchase"
187645,"Dice Rolling"
187645,"Hand Management"
187645,"Team-Based Game"
187645,"Variable Player Powers"
224517,"Hand Management"
224517,"Income"
224517,"Loans"
224517,"Market"
224517,"Network and Route Building"
224517,"Score-and-Reset Game"
224517,"Tech Trees / Tech Tracks"
224517,"Turn Order: Stat-Based"
224517,"Variable Set-up"
146508,"Cooperative Game"
146508,"Dice Rolling"
146508,"Move Through Deck"
146508,"Narrative Choice / Paragraph"
146508,"Storytelling"
146508,"Variable Player Powers"
284083,"Communication Limits"
284083,"Cooperative Game"
284083,"Hand Management"
284083,"Scenario / Mission / Campaign Game"
284083,"Trick-taking"
172225,"Hand Management"
172225,"Hot Potato"
172225,"Player Elimination"
172225,"Push Your Luck"
172225,"Set Collection"
172225,"Take That"
122522,"Area Majority / Influence"
122522,"Card Drafting"
122522,"Card Play Conflict Resolution"
122522,"Deck Construction"
122522,"Hand Management"
122522,"Take That"
122522,"Variable Player Powers"
122522,"Variable Set-up"
16992,"Hand Management"
16992,"Network and Route Building"
16992,"Player Elimination"
16992,"Tile Placement"
50381,"Hand Management"
50381,"Player Judge"
50381,"Simultaneous Action Selection"
164928,"Deck Bag and Pool Building"
164928,"Point to Point Movement"
164928,"Turn Order: Progressive"
164928,"Worker Placement"
93,"Action Drafting"
93,"Area Majority / Influence"
93,"Area Movement"
93,"Auction/Bidding"
93,"Card Drafting"
93,"Hand Management"
93,"Memory"
93,"Simultaneous Action Selection"
93,"Turn Order: Progressive"
93,"Turn Order: Stat-Based"
2453,"Enclosure"
2453,"Grid Coverage"
2453,"Hand Management"
2453,"Tile Placement"
153938,"Betting and Bluffing"
153938,"Dice Rolling"
153938,"End Game Bonuses"
153938,"Roll / Spin and Move"
153938,"Track Movement"
153938,"Variable Set-up"
103885,"Action Queue"
103885,"Critical Hits and Failures"
103885,"Dice Rolling"
103885,"Line of Sight"
103885,"Movement Template"
103885,"Player Elimination"
103885,"Simulation"
103885,"Simultaneous Action Selection"
103885,"Variable Player Powers"
104162,"Action Points"
104162,"Cooperative Game"
104162,"Dice Rolling"
104162,"Grid Movement"
104162,"Hand Management"
104162,"Line of Sight"
104162,"Map Addition"
104162,"Modular Board"
104162,"Movement Points"
104162,"Multiple Maps"
104162,"Scenario / Mission / Campaign Game"
104162,"Stat Check Resolution"
104162,"Team-Based Game"
104162,"Variable Player Powers"
147949,"Hidden Roles"
147949,"Role Playing"
147949,"Roles with Asymmetric Information"
147949,"Traitor Game"
147949,"Variable Player Powers"
147949,"Voting"
2223,"Hand Management"
2223,"Lose a Turn"
2223,"Matching"
2223,"Take That"
155426,"Card Drafting"
155426,"End Game Bonuses"
155426,"I Cut You Choose"
155426,"Increase Value of Unchosen Resources"
155426,"Pattern Building"
155426,"Set Collection"
155426,"Tile Placement"
155426,"Turn Order: Progressive"
100423,"Cooperative Game"
100423,"Dice Rolling"
100423,"Die Icon Resolution"
100423,"Modular Board"
100423,"Re-rolling and Locking"
100423,"Solo / Solitaire Game"
100423,"Variable Player Powers"
432,"Hand Management"
432,"Kill Steal"
432,"Score-and-Reset Game"
432,"Simultaneous Action Selection"
18,"Action Queue"
18,"Bias"
18,"Grid Movement"
18,"Lose a Turn"
18,"Modular Board"
18,"Programmed Movement"
