"id","category"
25669,"Abstract Strategy"
127023,"Ancient"
127023,"Miniatures"
127023,"Mythology"
127023,"Wargame"
28023,"Nautical"
28023,"Pirates"
28023,"Racing"
163967,"Dice"
163967,"Science Fiction"
163967,"Space Exploration"
239188,"Adventure"
239188,"Deduction"
239188,"Murder/Mystery"
118048,"Card Game"
194594,"Ancient"
194594,"Dice"
194594,"Fantasy"
194594,"Mythology"
312484,"Adventure"
312484,"Ancient"
312484,"Exploration"
312484,"Travel"
62871,"Dice"
62871,"Horror"
62871,"Humor"
62871,"Party Game"
62871,"Zombies"
24480,"Economic"
24480,"Medieval"
24480,"Novel-based"
24480,"Religious"
147151,"Deduction"
147151,"Party Game"
216132,"Economic"
216132,"Farming"
263918,"Fantasy"
263918,"Territory Building"
224037,"Card Game"
224037,"Deduction"
224037,"Spies/Secret Agents"
224037,"Word Game"
92415,"Bluffing"
92415,"Card Game"
92415,"Party Game"
258,"Card Game"
127398,"Adventure"
127398,"Fantasy"
127398,"Fighting"
127398,"Puzzle"
760,"Ancient"
760,"Card Game"
760,"Deduction"
21763,"Deduction"
21763,"Murder/Mystery"
9674,"Abstract Strategy"
233078,"Civilization"
233078,"Economic"
233078,"Exploration"
233078,"Negotiation"
233078,"Political"
233078,"Science Fiction"
233078,"Space Exploration"
233078,"Wargame"
113294,"Action / Dexterity"
113294,"Adventure"
113294,"Dice"
113294,"Electronic"
113294,"Exploration"
113294,"Real-time"
291457,"Adventure"
291457,"Exploration"
291457,"Fantasy"
291457,"Fighting"
291457,"Miniatures"
34219,"Card Game"
34219,"Medieval"
34219,"Religious"
144733,"Industry / Manufacturing"
144733,"Trains"
63888,"Card Game"
63888,"Civilization"
254640,"Party Game"
254640,"Word Game"
169426,"Dice"
169426,"Fantasy"
102680,"Ancient"
102680,"Political"
188,"Abstract Strategy"
115746,"Adventure"
115746,"Fantasy"
115746,"Fighting"
115746,"Miniatures"
115746,"Novel-based"
115746,"Territory Building"
115746,"Wargame"
217372,"Adventure"
217372,"Exploration"
217372,"Racing"
175914,"Economic"
175914,"Industry / Manufacturing"
180974,"Fantasy"
180974,"Puzzle"
3,"Abstract Strategy"
3,"Medieval"
102652,"Card Game"
102652,"Comic Book / Strip"
102652,"Fighting"
229853,"Ancient"
38453,"Electronic"
38453,"Real-time"
38453,"Science Fiction"
38453,"Space Exploration"
209010,"Fantasy"
209010,"Fighting"
209010,"Miniatures"
209010,"Video Game Theme"
140934,"Bluffing"
140934,"Card Game"
438,"Deduction"
438,"Travel"
9217,"Age of Reason"
9217,"Card Game"
9217,"City Building"
9217,"Economic"
160499,"Dice"
160499,"Fighting"
160499,"Movies / TV / Radio theme"
160499,"Science Fiction"
316554,"Movies / TV / Radio theme"
316554,"Novel-based"
316554,"Political"
316554,"Science Fiction"
77130,"City Building"
77130,"Civilization"
77130,"Exploration"
77130,"Negotiation"
77130,"Video Game Theme"
43443,"Fantasy"
43443,"Fighting"
43443,"Medieval"
555,"City Building"
555,"Renaissance"
823,"Adventure"
823,"Fantasy"
823,"Novel-based"
2471,"Exploration"
2471,"Fighting"
2471,"Horror"
2471,"Miniatures"
2471,"Movies / TV / Radio theme"
2471,"Zombies"
182874,"Economic"
131835,"Card Game"
131835,"Fantasy"
131835,"Video Game Theme"
43111,"Fantasy"
43111,"Fighting"
43111,"Horror"
43111,"Mythology"
43111,"Wargame"
172287,"Adventure"
172287,"Dice"
172287,"Fantasy"
172287,"Fighting"
172287,"Medieval"
172287,"Mythology"
155821,"Card Game"
155821,"Exploration"
155821,"Fighting"
155821,"Medieval"
155821,"Miniatures"
155821,"Mythology"
155703,"Animals"
155703,"Card Game"
155703,"Educational"
155703,"Environmental"
155703,"Fighting"
155703,"Prehistoric"
155703,"Print & Play"
41,"Dice"
48726,"Dice"
48726,"Science Fiction"
225694,"Deduction"
225694,"Party Game"
225694,"Spies/Secret Agents"
225694,"Word Game"
1917,"Abstract Strategy"
1917,"Bluffing"
1917,"Deduction"
1917,"Memory"
1917,"Napoleonic"
811,"Abstract Strategy"
811,"Card Game"
811,"Number"
59959,"Bluffing"
59959,"Deduction"
59959,"Murder/Mystery"
59959,"Post-Napoleonic"
63268,"Card Game"
63268,"Childrens Game"
63268,"Educational"
63268,"Party Game"
63268,"Real-time"
63268,"Sports"
156009,"Card Game"
156009,"Economic"
156009,"Nautical"
156009,"Pirates"
27588,"Animals"
286096,"Civilization"
12692,"Card Game"
12692,"Horror"
12692,"Humor"
46213,"Humor"
46213,"Party Game"
46213,"Real-time"
199042,"Card Game"
199042,"Fantasy"
199042,"Movies / TV / Radio theme"
199042,"Novel-based"
285774,"Card Game"
285774,"Collectible Components"
285774,"Comic Book / Strip"
262712,"Card Game"
262712,"Fantasy"
219513,"Animals"
219513,"Puzzle"
172818,"Adventure"
172818,"City Building"
172818,"Economic"
172818,"Exploration"
172818,"Fantasy"
172818,"Farming"
172818,"Negotiation"
198994,"Card Game"
198994,"Fantasy"
198994,"Fighting"
20100,"Bluffing"
20100,"Party Game"
20100,"Trivia"
140620,"American West"
140620,"Exploration"
27627,"Adventure"
27627,"Exploration"
27627,"Fantasy"
27627,"Fighting"
215,"Card Game"
199478,"Racing"
199478,"Sports"
191189,"Card Game"
191189,"Fantasy"
191189,"Fighting"
191189,"Science Fiction"
21241,"Fighting"
21241,"Puzzle"
21241,"Science Fiction"
29368,"Fighting"
29368,"Horror"
29368,"Miniatures"
29368,"Zombies"
176189,"Adventure"
176189,"Fantasy"
176189,"Fighting"
176189,"Horror"
176189,"Medieval"
176189,"Miniatures"
176189,"Zombies"
161417,"Card Game"
161417,"Number"
221107,"Environmental"
221107,"Exploration"
221107,"Medical"
97207,"Animals"
97207,"Fantasy"
97207,"Humor"
521,"Action / Dexterity"
155362,"Bluffing"
155362,"Fighting"
155362,"Humor"
155362,"Mafia"
155362,"Negotiation"
155362,"Party Game"
91536,"Dice"
91536,"Fantasy"
91536,"Fighting"
278,"Card Game"
278,"City Building"
278,"Territory Building"
185343,"Economic"
185343,"Science Fiction"
19857,"Ancient"
19857,"Card Game"
19857,"City Building"
19857,"Economic"
45,"Bluffing"
45,"Dice"
45,"Movies / TV / Radio theme"
45,"Party Game"
45315,"Economic"
45315,"Fantasy"
45315,"Fighting"
45315,"Humor"
25292,"Adventure"
25292,"Fighting"
25292,"Nautical"
25292,"Pike and Shot"
25292,"Pirates"
25292,"Transportation"
20551,"Economic"
20551,"Medieval"
20551,"Territory Building"
265736,"Abstract Strategy"
265736,"Animals"
265736,"City Building"
221194,"Animals"
221194,"Economic"
221194,"Science Fiction"
503,"Abstract Strategy"
503,"Animals"
503,"Arabian"
191862,"Ancient"
191862,"Transportation"
83330,"Adventure"
83330,"Exploration"
83330,"Fantasy"
83330,"Fighting"
83330,"Horror"
83330,"Miniatures"
83330,"Murder/Mystery"
83330,"Puzzle"
171668,"Card Game"
171668,"World War I"
256382,"Card Game"
256382,"Fantasy"
256382,"Medieval"
256382,"Movies / TV / Radio theme"
256382,"Mythology"
256382,"Novel-based"
256382,"Pirates"
158600,"Card Game"
158600,"Medieval"
158600,"Video Game Theme"
125618,"Card Game"
125618,"Pirates"
247763,"Card Game"
247763,"City Building"
247763,"Civilization"
247763,"Industry / Manufacturing"
247763,"Nautical"
247763,"Science Fiction"
197376,"City Building"
197376,"Economic"
197376,"Medieval"
119890,"Animals"
119890,"Farming"
2243,"Childrens Game"
2243,"Comic Book / Strip"
2243,"Dice"
2243,"Movies / TV / Radio theme"
2243,"Music"
2243,"Travel"
43015,"Medieval"
2452,"Action / Dexterity"
2452,"Party Game"
266524,"Adventure"
266524,"Animals"
266524,"Environmental"
266524,"Travel"
71721,"Card Game"
71721,"Fighting"
71721,"Science Fiction"
25554,"Economic"
25554,"Renaissance"
181279,"Adventure"
181279,"Deduction"
181279,"Fighting"
181279,"Horror"
181279,"Novel-based"
150312,"Bluffing"
150312,"Card Game"
150312,"Fantasy"
150312,"Fighting"
483,"Bluffing"
483,"Negotiation"
483,"Political"
483,"Post-Napoleonic"
483,"Wargame"
483,"World War I"
31627,"Trains"
2397,"Abstract Strategy"
2397,"Dice"
69789,"Card Game"
69789,"Fantasy"
66188,"Renaissance"
133038,"Adventure"
133038,"Card Game"
133038,"Fantasy"
133038,"Fighting"
169654,"Dice"
169654,"Exploration"
169654,"Nautical"
169654,"Party Game"
34119,"Adventure"
34119,"Arabian"
34119,"Exploration"
34119,"Fantasy"
34119,"Travel"
146652,"Card Game"
146652,"Fighting"
146652,"Horror"
146652,"Movies / TV / Radio theme"
146652,"Science Fiction"
8098,"Action / Dexterity"
8098,"Card Game"
8098,"Party Game"
8098,"Real-time"
4390,"Prehistoric"
176396,"City Building"
176396,"Environmental"
37380,"Ancient"
37380,"City Building"
37380,"Civilization"
37380,"Dice"
200680,"Animals"
200680,"Economic"
200680,"Farming"
172386,"Economic"
274960,"Card Game"
155987,"Card Game"
155987,"Fantasy"
155987,"Mythology"
155987,"Science Fiction"
699,"Adventure"
699,"Exploration"
699,"Fantasy"
699,"Fighting"
126042,"Card Game"
126042,"Civilization"
126042,"Economic"
17226,"Adventure"
17226,"Exploration"
17226,"Fantasy"
17226,"Fighting"
17226,"Miniatures"
1198,"Card Game"
1198,"Puzzle"
1198,"Real-time"
17133,"Trains"
17133,"Transportation"
17133,"Video Game Theme"
1219,"Childrens Game"
1219,"Maze"
1219,"Puzzle"
2921,"Childrens Game"
2921,"Economic"
2921,"Electronic"
269385,"Adventure"
269385,"Fantasy"
269385,"Fighting"
269385,"Miniatures"
269385,"Novel-based"
31594,"Economic"
31594,"Medieval"
128621,"Economic"
128621,"Farming"
242302,"Dice"
242302,"Science Fiction"
242302,"Space Exploration"
266810,"Medieval"
42215,"Adventure"
42215,"Deduction"
42215,"Exploration"
1111,"Party Game"
1111,"Real-time"
1111,"Word Game"
281259,"Animals"
281259,"Fantasy"
281259,"Puzzle"
125153,"Economic"
9216,"Economic"
9216,"Farming"
9216,"Nautical"
9216,"Renaissance"
138161,"Adventure"
138161,"Movies / TV / Radio theme"
138161,"Science Fiction"
138161,"Space Exploration"
138161,"Travel"
221965,"Animals"
221965,"Card Game"
221965,"Fantasy"
206718,"Fantasy"
233371,"Science Fiction"
203993,"Renaissance"
136888,"Card Game"
136888,"City Building"
136888,"Economic"
136888,"Renaissance"
276025,"Economic"
276025,"Exploration"
276025,"Pirates"
90137,"Card Game"
90137,"Fantasy"
90137,"Fighting"
90137,"Sports"
131260,"Dice"
131260,"Math"
131260,"Number"
93260,"Card Game"
93260,"Fantasy"
93260,"Fighting"
98,"Economic"
98,"Wargame"
98,"World War II"
183840,"Card Game"
183840,"Economic"
183840,"Medieval"
220877,"Dice"
220877,"Economic"
220877,"Territory Building"
25821,"Bluffing"
25821,"Deduction"
25821,"Horror"
25821,"Murder/Mystery"
25821,"Party Game"
6472,"Bluffing"
6472,"Fantasy"
6472,"Negotiation"
6472,"Novel-based"
6472,"Political"
6472,"Wargame"
53953,"Card Game"
53953,"Fantasy"
53953,"Fighting"
256226,"Abstract Strategy"
256226,"Puzzle"
256226,"Renaissance"
39683,"Economic"
39683,"Farming"
220,"Card Game"
97786,"Fantasy"
97786,"Fighting"
97786,"Territory Building"
9609,"Adventure"
9609,"Fantasy"
9609,"Miniatures"
9609,"Novel-based"
9609,"Territory Building"
9609,"Wargame"
70149,"City Building"
70149,"Economic"
70149,"Industry / Manufacturing"
70149,"Medieval"
70149,"Religious"
70149,"Territory Building"
257501,"Card Game"
257501,"Collectible Components"
257501,"Fantasy"
257501,"Fighting"
150,"Action / Dexterity"
150,"Childrens Game"
150,"Party Game"
150,"Racing"
150,"Sports"
168435,"City Building"
168435,"Napoleonic"
168435,"Negotiation"
287954,"Abstract Strategy"
287954,"Puzzle"
22545,"Civilization"
22545,"Exploration"
22545,"Renaissance"
22545,"Video Game Theme"
19237,"Bluffing"
19237,"Card Game"
19237,"Fighting"
19237,"Humor"
19237,"Mafia"
19237,"Negotiation"
19237,"Party Game"
133848,"Science Fiction"
68425,"Card Game"
68425,"Civilization"
68425,"Science Fiction"
68425,"Space Exploration"
194607,"Card Game"
194607,"Fantasy"
11971,"Bluffing"
11971,"Card Game"
11971,"Party Game"
188920,"Adventure"
188920,"Exploration"
188920,"Mature / Adult"
188920,"Modern Warfare"
188920,"Video Game Theme"
271324,"Card Game"
271324,"Civilization"
271324,"Economic"
271324,"Science Fiction"
117959,"Dice"
196340,"Economic"
150658,"Dice"
150658,"Environmental"
150658,"Medical"
27833,"Economic"
27833,"Trains"
27833,"Transportation"
1115,"Bluffing"
1115,"Card Game"
203420,"Deduction"
203420,"Puzzle"
203420,"Real-time"
245638,"Dice"
245638,"Renaissance"
215311,"Racing"
215311,"Sports"
143693,"City Building"
143693,"Economic"
143693,"Medieval"
139030,"Bluffing"
139030,"Card Game"
139030,"Medieval"
139030,"Party Game"
282524,"Horror"
282524,"Miniatures"
282524,"Movies / TV / Radio theme"
91312,"Bluffing"
91312,"City Building"
91312,"Deduction"
91312,"Fantasy"
91312,"Novel-based"
73761,"Exploration"
73761,"Sports"
155068,"Adventure"
155068,"Exploration"
155068,"Fantasy"
155068,"Fighting"
155068,"Miniatures"
176920,"Science Fiction"
141572,"Card Game"
141572,"Print & Play"
141572,"Word Game"
15818,"Animals"
15818,"Dice"
40398,"Card Game"
40398,"Economic"
146886,"Economic"
146886,"Farming"
251247,"Economic"
251247,"Environmental"
251247,"Industry / Manufacturing"
4098,"Economic"
4098,"Trains"
4098,"Transportation"
183251,"Exploration"
183251,"Puzzle"
97842,"Card Game"
97842,"Economic"
97842,"Humor"
27225,"Real-time"
27225,"Word Game"
127060,"Dice"
30869,"Ancient"
30869,"Exploration"
30869,"Travel"
173090,"Card Game"
173090,"Number"
63628,"Aviation / Flight"
63628,"Economic"
63628,"Fighting"
63628,"Industry / Manufacturing"
63628,"Negotiation"
63628,"Print & Play"
63628,"World War II"
205398,"Bluffing"
205398,"Card Game"
205398,"City Building"
205398,"Fantasy"
205398,"Medieval"
246784,"Deduction"
1465,"Card Game"
1465,"Fantasy"
33160,"Exploration"
33160,"Nautical"
33160,"Renaissance"
175117,"Adventure"
175117,"Aviation / Flight"
175117,"Card Game"
175117,"Fantasy"
172081,"Exploration"
172081,"Maze"
172081,"Spies/Secret Agents"
177524,"Action / Dexterity"
177524,"Animals"
177524,"Childrens Game"
171499,"Economic"
171499,"Farming"
171499,"Territory Building"
25417,"Fantasy"
25417,"Medieval"
25417,"Miniatures"
25417,"Wargame"
91514,"Action / Dexterity"
91514,"Animals"
91514,"Childrens Game"
91514,"Party Game"
2425,"Childrens Game"
2425,"Deduction"
2425,"Nautical"
2425,"Wargame"
47,"City Building"
47,"Economic"
47,"Negotiation"
20963,"Adventure"
