"id","designer"
25821,"Hervé Marly"
6472,"Christian T. Petersen"
6472,"Kevin Wilson"
53953,"Mike Elliott"
256226,"Michael Kiesling"
39683,"Uwe Rosenberg"
160851,"Christopher Chung"
220,"Reiner Knizia"
97786,"Philippe Keyaerts"
9609,"Roberto Di Meglio"
9609,"Marco Maggi"
9609,"Francesco Nepitello"
70149,"Uwe Rosenberg"
257501,"Richard Garfield"
150,"Jean du Poël"
168435,"Matthew OMalley"
168435,"Ben Rosset"
287954,"Michael Kiesling"
22545,"Glenn Drover"
19237,"Ludovic Maublanc"
133848,"Jamey Stegmaier"
133848,"Alan Stone"
68425,"Seth Jaffee"
194607,"John D. Clair"
11971,"Jacques Zeimet"
188920,"Michał Oracz"
188920,"Jakub Wiśniewski"
271324,"Frédéric Guérard"
117959,"Rüdiger Dorn"
196340,"Hisashi Hayashi"
150658,"Matt Leacock"
27833,"Martin Wallace"
1115,"(Uncredited)"
203420,"Inka Brand"
203420,"Markus Brand"
245638,"Flaminia Brasini"
245638,"Virginio Gigli"
215311,"Rob Daviau"
215311,"Justin D. Jacobson"
215311,"Wolfgang Kramer"
143693,"Uwe Rosenberg"
139030,"Bruno Faidutti"
282524,"Prospero Hall"
91312,"Martin Wallace"
73761,"Adam Kałuża"
155068,"Thiago Aranha"
155068,"Guilherme Goulart"
155068,"Eric M. Lang"
155068,"Fred Perret"
176920,"Bruno Cathala"
176920,"Bruno Faidutti"
141572,"Tim Fowers"
15818,"Reiner Knizia"
40398,"Katharine Chapman"
146886,"Michael Keller (II)"
146886,"Andreas ode. Odendahl"
251247,"Tommaso Battista"
251247,"Simone Luciani"
4098,"Martin Wallace"
183251,"Rüdiger Dorn"
97842,"Vladimír Suchý"
27225,"Rena Nathanson"
27225,"Abe Nathanson"
127060,"Stefan Feld"
30869,"Peter Prinz"
173090,"Steffen Benndorf"
63628,"Brandon Tibbetts"
205398,"Bruno Faidutti"
246784,"Hal Duncan"
246784,"Ruth Veevers"
1465,"Ken Fisher"
33160,"Carl de Visser"
33160,"Jarratt Gray"
175117,"Aaron Weissblum"
172081,"Tim Fowers"
177524,"Brian Gomez"
171499,"Phil Walker-Harding"
25417,"Richard Borg"
91514,"Scott Frisco"
91514,"Steven Strumpf"
2425,"Clifford Von Wickler"
47,"Karsten Hartwig"
20963,"Stephen Hand"
20963,"Kevin Wilson"
2381,"(Uncredited)"
112,"Dominique Ehrhard"
112,"Duccio Vitale"
112,"Justin Kemppainen"
179275,"Chris Cieslik"
159675,"Uwe Rosenberg"
88,"Michael Kiesling"
88,"Wolfgang Kramer"
232043,"Bruno Cathala"
184921,"Richard Garfield"
163968,"Matthew Dunstan"
163968,"Brett J. Gilbert"
891,"Whit Alexander"
891,"Richard Tait"
198928,"Jesús Torres Castro"
198928,"Matt Leacock"
66362,"Matthias Cramer"
194879,"Ghislain Masson"
245654,"Hjalmar Hach"
245654,"Lorenzo Silva"
21348,"Alan R. Moon"
394,"Günter Cornett"
156336,"Shadi Torbey"
2398,"Sir John Suckling"
27708,"Christian Leonhard"
27708,"Jason Matthews"
172308,"Andreas Pelikan"
172308,"Alexander Pfister"
5404,"Reiner Knizia"
59946,"Rob Heinsoo"
59946,"Peter Lee"
59946,"Mike Mearls"
59946,"Bill Slavicsek"
327,"Masaru Aoki"
327,"Carol Wiseley"
246192,"Phil Walker-Harding"
372,"Reiner Knizia"
192153,"Matt Leacock"
192153,"Chuck D. Yager"
269207,"Wolfgang Warsch"
13823,"Satoshi Nakamura"
27746,"Wolfgang Kramer"
27746,"Markus Lübke"
15363,"Charlie Catino"
15363,"Steven Kimball"
140,"Edgar Cayce"
140,"Harry Gavitt"
140,"George S. Parker"
177639,"Bruno Cathala"
177639,"Bruno Faidutti"
193037,"Jonathan Gilmour"
193037,"Isaac Vega"
283155,"Kevin Russ"
172242,"Matthew Inman"
172242,"Elan Lee"
172242,"Shane Small"
66589,"Mac Gerdts"
1258,"Kenneth Johnson"
24181,"Mac Gerdts"
232832,"Emerson Matsuuchi"
1234,"Richard Lambert"
1234,"Andrew Rilstone"
1234,"James Wallis"
195421,"Ryan Laukat"
10,"Alan R. Moon"
223321,"Przemysław Rymer"
223321,"Ignacy Trzewiczek"
223321,"Jakub Łapot"
51,"Alex Randolph"
16986,"Grzegorz Rejchtman"
163602,"Eric M. Lang"
2375,"Doug Reuter"
82222,"Cody Miller"
169124,"Gaëtan Beaujannot"
169124,"Jean Yves Monpertuis"
24068,"Yasutaka Ikeda"
13308,"Thomas Liesching"
14105,"Richard Borg"
24508,"Marcel-André Casasola Merkle"
27173,"Michael Kiesling"
55690,"Adam Poots"
12002,"Rüdiger Dorn"
2987,"Paul Randles"
2987,"Daniel Stahl"
30380,"Michael Rieneck"
30380,"Stefan Stadler"
264220,"Krzysztof Piskorski"
264220,"Marcin Świerkot"
232405,"Hervé Lemaître"
175155,"Samuel Bailey"
175155,"James Kniffen"
175155,"Corey Konieczka"
72287,"Bruno Cathala"
72287,"Ludovic Maublanc"
144344,"Matthias Cramer"
144344,"Stefan Malz"
144344,"Louis Malz"
59294,"Corey Konieczka"
11170,"Stephen Baker"
11170,"Rob Daviau"
11170,"Craig Van Ness"
21882,"Reiner Knizia"
121408,"Hisashi Hayashi"
161533,"Vital Lacerda"
131366,"Ryan Laukat"
184267,"Vital Lacerda"
22345,"Sébastien Pauchon"
21523,"Darrell Hardy"
21523,"Martin Wallace"
2842,"Franz-Benno Delonge"
105134,"Rob Daviau"
105134,"Chris Dupuis"
138788,"Chris Darden"
36946,"Bruno Faidutti"
36946,"Jef Gontier"
192135,"Josh J. Carlson"
192135,"Adam Carlson"
7854,"Kris Burm"
915,"Bruno Faidutti"
915,"Serge Laget"
162082,"Sébastien Dujardin"
7805,"Friedemann Friese"
122298,"Brent Povis"
137297,"Paolo Mori"
7717,"Reiner Knizia"
7717,"Klaus-Jürgen Wrede"
223040,"Bruce Glassco"
163068,"Richard Amann"
163068,"Viktor Peter"
13004,"Klaus-Jürgen Wrede"
264055,"Antoine Bauza"
264055,"Corentin Lebrat"
264055,"Ludovic Maublanc"
264055,"Théo Rivière"
31730,"John Bohrer"
244228,"Emerson Matsuuchi"
234487,"Reiner Stockhausen"
200147,"Bruno Cathala"
200147,"Charles Chevallier"
105551,"Christophe Boelinger"
2952,"Scott Abbot"
2952,"Chris Haney"
128671,"Aaron Dill"
128671,"John Kovaleski"
128671,"Sean Sweigart"
590,"Edmond Dujardin"
826,"Leo Colovini"
79828,"Martin Wallace"
171273,"Kane Klenko"
207830,"Connor Reid"
85256,"Frédéric Henry"
101721,"Bryan Pope"
101721,"Benjamin Pope"
2083,"(Uncredited)"
17329,"Klaus Miltenberger"
204027,"Uwe Rosenberg"
83195,"Jacques Zeimet"
24310,"Cliff Bohm"
24310,"Geoff Bottone"
24310,"Colleen Skadl"
2719,"Ned Strongin"
2719,"Howard Wexler"
46,"Reiner Knizia"
2389,"John W. Mollett"
2389,"Lewis Waterman"
1293,"Bill Cooke"
1293,"Alan Turoff"
271896,"Corey Konieczka"
271896,"Tony Fanchi"
148951,"Scott Almes"
97903,"Antoine Bauza"
97903,"Ludovic Maublanc"
475,"Reiner Knizia"
2281,"Rob Angel"
233398,"Carl de Visser"
233398,"Jarratt Gray"
71,"Francis Tresham"
929,"Richard Garfield"
22827,"Corey Konieczka"
22827,"Christian T. Petersen"
227789,"Michael Kiesling"
227789,"Andreas Schmidt"
55670,"Stefan Feld"
105,"Reiner Knizia"
40793,"Bruno Cathala"
40793,"Ludovic Maublanc"
250458,"Andreas Steding"
90419,"Alan R. Moon"
180593,"Nicolas Robert"
40628,"Wolfgang Sentker"
40628,"Ralf zur Linde"
155695,"Reiner Knizia"
176229,"Kristian Čurla"
228341,"Vladimír Suchý"
274364,"Matthias Cramer"
96913,"Matthias Cramer"
39938,"Xavier Georges"
20437,"James Ernest"
20437,"Mike Selinker"
624,"Mirko Marchesi"
143519,"Eric Zimmerman"
1829,"Rob Daviau"
1829,"Craig Van Ness"
110277,"Vangelis Bagiartakis"
165722,"Mikkel Bertelsen"
54625,"Richard Halliwell"
159508,"Stefan Feld"
36932,"Croc"
2093,"(Uncredited)"
256960,"Cole Wehrle"
182631,"Robert Dougherty"
182631,"Darwin Kastle"
526,"Michel Lalet"
526,"Laurent Levi"
257,"James Ernest"
1269,"Hazel Skip Bowman "
182134,"Dominic Crapuchettes"
182134,"Dmitry Knorre"
182134,"Sergey Machin"
134726,"Paul Peterson"
3201,"Reiner Knizia"
125678,"Matt Hyra"
125678,"Ben Stoll"
201921,"Scott Almes"
2392,"Mordecai Meirowitz"
318977,"Johannes Sich"
146278,"Vlaada Chvátil"
232219,"Hjalmar Hach"
232219,"Luca Ricci"
232219,"Lorenzo Silva"
8051,"Marcel-André Casasola Merkle"
140933,"Yves Tourigny"
22141,"Bruno Cathala"
22141,"Ludovic Maublanc"
65781,"Martin Wallace"
56692,"Naoki Homma"
66056,"Klaus Teuber"
195539,"Eric M. Lang"
681,"Blaise Muller"
58281,"Colby Dauch"
166669,"Andreas Seyfarth"
262543,"Alex Hague"
262543,"Justin Vickers"
262543,"Wolfgang Warsch"
29387,"Andrew Looney"
251658,"Steven Aramini"
251658,"Danny Devine"
251658,"Paul Kluka"
268864,"Trevor Benjamin"
268864,"David Thompson (I)"
